# control input, output
9.463000876874144707e-01,2.866145956822792051e-01
9.430199312900104935e-01,2.888809483294927372e-01
9.396454736853249168e-01,2.910963573349866773e-01
9.361770523163061020e-01,2.932594124504394051e-01
9.326150140222004836e-01,2.953687208794776864e-01
9.289597150038693130e-01,2.974229079990933777e-01
9.252115207881682624e-01,2.994206180725518807e-01
9.213708061913954417e-01,3.013605149534377969e-01
9.174379552818098249e-01,3.032412827804853439e-01
9.134133613412251940e-01,3.050616266628483064e-01
9.092974268256817094e-01,3.068202733554667994e-01
9.050905633252008808e-01,3.085159719241953868e-01
9.007931915226272679e-01,3.101474944003601020e-01
8.964057411515597984e-01,3.117136364244190716e-01
8.919286509533795870e-01,3.132132178784060583e-01
8.873623686333754756e-01,3.146450835068420049e-01
8.827073508159740678e-01,3.160081035258056614e-01
8.779640629990781431e-01,3.173011742198602603e-01
8.731329795075164490e-01,3.185232185265394755e-01
8.682145834456126421e-01,3.196731866081020113e-01
8.632093666488737105e-01,3.207500564102704343e-01
8.581178296348088708e-01,3.217528342076772518e-01
8.529404815528761619e-01,3.226805551357463941e-01
8.476778401335698376e-01,3.235322837087470926e-01
8.423304316366456712e-01,3.243071143237621912e-01
8.368987907984977159e-01,3.250041717503212579e-01
8.313834607786830810e-01,3.256226116054555808e-01
8.257849931056080450e-01,3.261616208139394568e-01
8.201039476213741741e-01,3.266204180534899582e-01
8.143408924257959924e-01,3.269982541847045177e-01
8.084964038195900926e-01,3.272944126655232822e-01
8.025710662467472334e-01,3.275082099500114530e-01
7.965654722360865359e-01,3.276389958712643269e-01
7.904802223420047680e-01,3.276861540082456337e-01
7.843159250844198294e-01,3.276491020363779261e-01
7.780731968879212035e-01,3.275272920617121608e-01
7.717526620201257126e-01,3.273202109385113245e-01
7.653549525292535627e-01,3.270273805700916192e-01
7.588807081809217925e-01,3.266483581927730473e-01
7.523305763941706692e-01,3.261827366427996755e-01
7.457052121767200337e-01,3.256301446060980154e-01
7.390052780594708048e-01,3.249902468507510633e-01
7.322314440302514216e-01,3.242627444420740912e-01
7.253843874668195468e-01,3.234473749401863829e-01
7.184647930691262507e-01,3.225439125799825502e-01
7.114733527908443378e-01,3.215521684334154973e-01
7.044107657701762504e-01,3.204719905540119318e-01
6.972777382599377738e-01,3.193032641035501440e-01
6.900749835569364166e-01,3.180459114608388260e-01
